Charity Reg. No.,Trust Name,Geo Area,Project Alignments ,Website / CC Record,Next Steps,Giving total (year),Grant Range,Average Gift,Potential ask value,Correspondent Name,,Relationship status,Previous application or funder,Contact Details,,Happy to receive intro calls / emails?,Application type,Application details,Application deadlines,Grant making policy details,Multi-year grants avaliable?,,,,,,,
200009,Ralph Levy Charitable Company Limited,UK,Medical / Health,THE RALPH LEVY CHARITABLE COMPANY LIMITED - 200009,Awaiting outcome,"£583,418",-,"£9,888","£10,000",-,-,Cold,-,"1 Hinde Street
LONDON
W1U 2AY
Phone:	02074089333",charity@ralphtrustees.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1113109,River Farm Foundation ,UK,Health / Welfare / Children,THE RIVER FARM FOUNDATION - 1113109,Awaiting outcome,"£537,604",-,"£19,657","£19,500",-,-,Cold,-,"Unit 4 Hill Farm
Kirby Road
Kirby Bedon
Norwich
Norfolk
NR14 7DU
Phone:	01508480100",info@fisherlegal.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1122851,Roan Charitable Trust,UK and Internationally,Social Welfare,THE ROAN CHARITABLE TRUST - 1122851,Apply,"£477,000",-,"£21,681.00","£5,000",Jeff Shear,MD Specialist at Solid Management,Cold,-,"Solid Management
PO Box 2696
Woodford Green
IG8 1UF
Phone:	07771711188",jeff@solidmanagement.co.uk,No indication but contact details are avaliable.,Email,No formal application process,Ongoing,-,Unknown,,,,,,,
268535,Robert Gavron Charitable Trust,UK,Disabled,THE ROBERT GAVRON CHARITABLE TRUST - 268535,Awaiting outcome,"£512,342",-,-,-,-,-,Cold,-,"27 Maywin Drive
Hornchurch
RM11 3ST
Phone:	07549935051",office@rgct.org.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
274117,Rockcliffe Charitable Trust,UK,General,ROCKCLIFFE CHARITABLE TRUST - 274117,Exploratory call / email needed.,"£1,379,454",-,"£5,015.00","£1,000",-,-,Cold,-,"12 Upper Grosvenor St
Mayfair
London
W1K 2ND
Phone:	02078168137",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
327062,Rubin Foundation Charitable Trust,UK,General,THE RUBIN FOUNDATION CHARITABLE TRUST - 327062,Exploratory call / email needed.,"£989,257",-,-,"£30,000",Allison McMillian,-,Cold,-,"8 Manchester Square
London
W1U 3PH
Phone:	020 7535 3870",alison.mcmillan@pentland.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
263814,SMB Trust,UK and the World,Social Care,https://smbtrust.org.uk/,Awaiting outcome,-,-,-,"£2,000",Andrew Wheeler,Chair,Cold,-,"483 GREEN LANES
LONDON
N13 4BS
Phone:	07702842240",andy@smbtrust.org.uk,Yes,Online,Online,April and Oct,See website,No,,,,,,,
1009946,S Sterling Charitable Trust,UK,General,S STERLING CHARITABLE TRUST - 1009946,Awaiting outcome,"£97,098",-,-,-,-,-,Cold,-,"101 New Cavendish Street
1st Floor South
London
W1W 6XH
Phone:	02074676300",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
288541,Searle Charitable Trust,UK,General,THE SEARLE CHARITABLE TRUST - 288541,Awaiting outcome,"£90,000",-,-,-,-,-,Cold,-,"30 WATLING STREET
ST. ALBANS
AL1 2QB
Phone:	02076808100",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1041568,Spear Charitable Trust,UK,General,THE SPEAR CHARITABLE TRUST - 1041568,Exploratory call / email needed.,"£2,012,990",-,-,"£100,000",-,-,Cold,-,"LONGMORES
24 CASTLE STREET
HERTFORD
SG14 1HP
Phone:	01992300333",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1085985,Stanley Foster Charitable Trust,UK,General,THE STANLEY FOSTER CHARITABLE TRUST - 1085985,Awaiting outcome,"£26,100",-,-,-,-,-,Cold,-,"1 RUSSELL CLOSE
BECKENHAM
BR3 6QL
Phone:	07913 321213",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
222883,St Jude's Trust,UK,Disabled / Health,ST JUDE'S TRUST - 222883,Awaiting outcome,"£39,084",-,"£1,221.00","£1,200",-,-,Cold,-,"DRUCES LLP
SALISBURY HOUSE
LONDON WALL
LONDON
EC2M 5PS
Phone:	02076389271",-,No indication but contact details are avaliable.,Postal,Applications via post only.,Applications by April and October for review in May and November,-,-,,,,,,,
1138476,Stolkin Foundation,UK,Ill health / Children and Young People,Stolkin Foundation - 1138476,Exploratory call / email needed.,"£295,720",-,-,"£5,000 - £7,000",-,-,Cold,-,"14-16 EGERTON GARDENS MEWS
LONDON
SW3 2EH
Phone:	02075890899",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
283462,Susanna Peake Charitable Trust,UK,Hospices - Elderly / Disabled,SUSANNA PEAKE CHARITABLE TRUST - 283462,Exploratory call / email needed.,"£418,600",-,"£8,542.00","£8,500",-,-,Cold,-,"Rathbones Trust Company Limited
30 Gresham Street
LONDON
EC2V 7QN
Phone:	0207 399 0444",rtccharities@rathbones.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
271925,Swann-Morton Foundation,UK - Possible preference for Sheffield,"Care / Support - Sick, injured, infirm, handicapped or disabled",THE SWANN-MORTON FOUNDATION - 271925,Exploratory call / email needed.,"£98,941",-,-,"£6,000",-,-,Cold,-,"SWANN MORTON LTD
OWLERTON GREEN
SHEFFIELD
S6 2BJ
Phone:	01142344231",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1175522,Sydney & Sheila McGhee Charitable Trust ,UK,General,THE SYDNEY AND SHEILA MCGHEE CHARITABLE TRUST - 1175522,Awaiting outcome,"£36,935",-,"£3,357.00","£3,000",David Butterworth,Wheawill & Sudworth Limited,Cold,-,"Wheawill & Sudworth Limited
35 Westgate
Huddersfield
West Yorkshire
HD1 1PA
Phone:	01484 423691",david.butterworth@wheawills.co.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1149202,Syncona Foundation,UK,Cancer / Health,https://www.synconaltd.com/the-foundation/,Exploratory call / email needed.,"£4,390,000",-,-,"£20,000",Thomas Henderson,Chair,Cold,-,"c/o Couch Bright King & Co
2 Tolherst Court
Turkey Mill
Ashford Road
MAIDSTONE
Kent
Phone:	0207 387 4264",TH@BACIT.CO,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1094181,Tanlaw Foundation,UK,Medical and Disability,THE TANLAW FOUNDATION - 1094181,Exploratory call / email needed.,"£213,500",-,"£17,791.00","£5,000",Neil Warman,Admin Assist to the Investment Manager at Rathbones.,Cold,-,"Rathbone Bros Plc
PO Box 1965
Liverpool
L69 3HU
Phone:	02073990134",Neil.Warman@rathbones.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1107895,Tara Getty Foundation,UK and overseas,Health,https://taragettyfoundation.earth/,Awaiting outcome,"£328,463",-,-,"£10,000",-,-,Cold,-,"6 Chesterfield Gardens
Ground Floor
London
W1J 5BQ
Phone:	02074093900",hello@taragettyfoundation.earth,Yes,TBC,TBC,TBC,TBC,TBC,,,,,,,
1175713,Tendril Trust,UK,Hospice,THE TENDRIL TRUST - 1175713,Awaiting outcome,"£260,874",-,"£2,099.00","£2,000",-,-,Cold,-,"NICHOLSONS
ST. JAMES HOUSE
AUSTENWOOD LANE
GERRARDS CROSS
BUCKINGHAMSHIRE
SL9 8SG
Phone:	01753891919",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1116782,Terence Cole Foundation,UK,General,THE TERENCE COLE FOUNDATION - 1116782,Awaiting outcome,"£22,643",-,"£5,660.00","£5,500",Karen Jupp,Trustee,Cold,-,"10 UPPER BERKELEY STREET
LONDON
W1H 7PE
Phone:	02074020402",karen.jupp@marcol.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1123591,Thomas Moffitt Clark Charitable Trust,UK,General,THE THOMAS MOFFITT CLARK CHARITABLE TRUST - 1123591,Awaiting outcome,-,-,-,£500,-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese La
TOWER WHARF
CHEESE L
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Applications are made online via the Ludlow Portal,Ongoing,-,-,,,,,,,
279549,Thomas Sivewright Catto Charitable Settlement,UK,General - Illness / Health,THE THOMAS SIVEWRIGHT CATTO CHARITABLE SETTLEMENT - 279549,Exploratory call / email needed.,"£370,230",-,"£1,000","£1,000",-,-,Cold,-,"PO BOX 47408
LONDON
N21 1YW
07836 247913",office@tscatto.org.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1124952,Trelix Charitable Trust,"local, national and overseas",Hospice,TRELIX CHARITABLE TRUST - 1124952,Awaiting outcome,"£46,000",-,"£1,095","£1,000",-,-,Cold,-,"BLANDY & BLANDY
1 FRIAR STREET
READING
RG1 1DA
Phone:	01189516800",TrelixCT@gmail.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1103150,Tresanton Trust,UK,Children,THE TRESANTON TRUST - 1103150,Awaiting outcome,"£549,685",-,-,"£10,000",-,-,Cold,-,"Birch Hall
Church Road
WINDLESHAM
GU20 6BN",info@tresantontrust.com,No indication but contact details are avaliable.,Email,Email ONLT,TBC,Multi-year grants only.,YES,,,,,,,
801479,Tufton Charitable Trust ,UK and Overseas,Health,THE TUFTON CHARITABLE TRUST - 801479,Exploratory call / email needed.,"£384,250",-,-,"£20,000",-,-,Cold,-,"Tufton Place
Tufton Lane
Northiam
Rye
TN31 6HL
Phone:	01797 253311",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
255651,Vandervell Foundation ,UK,Medical / Social Welfare,THE VANDERVELL FOUNDATION - 255651,Apply,"£310,000",-,"£2,844","£2,500",-,-,Cold,-,"HAMPSTEAD TOWN HALL CENTRE
213 HAVERSTOCK HILL
LONDON
NW3 4QP
Phone:	02076925890",office@vandervell.org.uk,No indication but contact details are avaliable.,Post or email,On formal application process.  Applications are accepted via email or post.,Rolling - Trustees meet bi-monthly.,-,-,,,,,,,
1071006,Violet Helen Dixon Charitable Trust,UK,General,THE VIOLET HELEN DIXON CHARITABLE TRUST - 1071006,Awaiting outcome,"£28,000",-,"£2,800",-,-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese La
TOWER WHARF
CHEESE L
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Applications are made online via the Ludlow Portal,Ongoing,-,-,,,,,,,
 1139173,Whitehead Monckton Charitable Foundation,Kent,Kent,https://www.wmcf.co.uk/charity-sponsorship-in-kent/,Unsuccessful,,,,,,,,,,,,,,,,,,,,,,,
298781,White Oak Charitable Trust ,England and Wales,Hardship,THE WHITE OAK CHARITABLE TRUST - 298781,Awaiting outcome,"£60,500",,"£1,000","£1,000",-,-,Cold,-,"Flat 9, Newton Court
53-59 Kensington Church Street
LONDON
W8 4BD
Phone:	02078238851",WhiteOakCharitableTrust@gmail.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
293312,WG Edwards Charitable Foundation ,UK,Over 65's,WG Edwards Charitable Foundation,Apply,-,"£1,000 - £1,500",-,"£1,500",-,-,Lapsed,"£2,000 towards equipment - 2021","Robson Laidler
Fernwood House
Fernwood Road
NEWCASTLE UPON TYNE
Phone:0191 2843612",WGEDWARDSCHARITY@ICLOUD.COM,No indication but contact details are avaliable.,Online,"You can use the online form, or print the form and send it via email.",apply between 8th - 12th Dec to be considered at their January meeting.,See website,No,,,,,,,
1172795,William and Frances Dobie Charitable Foundation ,UK,Health- Young / Old / disabled,WILLIAM AND FRANCES DOBIE CHARITABLE FOUNDATION - 1172795,Awaiting outcome,"£59,000",-,-,"£1,000",-,-,Cold,-,"5 Briarwood
WILMSLOW
Cheshire
SK9 2DH
Phone:	01565740909",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
284299,Wogen Anniversary Trust ,UK,Health / Disability,THE WOGEN ANNIVERSARY TRUST - 284299,Awaiting outcome,"£101,867",-,"£2,425","£2,400",Adam Greenwood,,Cold,-,"c/o TC Citroen Wells Ltd
5th Floor
3 Dorset Rise
London
EC4Y 8EN
Phone:	02073042000",adam.greenwood@wogen.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
